Numero Adquisición,Tipo Adquisición,Nombre Adquisición,Descripción,Organismo,Región Compradora,Fecha Publicación,Fecha Cierre,Descripción del producto/servicio,Código ONU,Unidad de Medida,Cantidad,Genérico,Nivel 1,Nivel 2,Nivel 3,Monto Estimado,Oferentes
5756-3-LP26,Licitación Pública igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Habilitación de Infraestructura para Taller,"Habilitación de Infraestructura para Taller de Prototipo: Confección de Radier, Suministro e Instalación de Sistema de Muro Cortina y de Ventanas Termopanel",UNIVERSIDAD DE CHILE,Región Metropolitana de Santiago,2026-05-15 22:50:22.217000,2026-05-26 17:00:00,"Habilitación de Infraestructura para Taller de Prototipo: Confección de Radier, Suministro e Instalación de Sistema de Muro Cortina y de Ventanas Termopanel (el precio indicado en el formulario G es el que prevalecerá para efectos de adjudicación)",72102702,Unidad,1.0,"Revestimiento, instalación o mantenimiento de suelos",Servicios de construcción y mantenimiento,"Servicios de atención, mantenimiento y reparaciones de edificios",Servicios de revestimiento o pavimentación de suelos,,
1735-27-LP26,Licitación Pública igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Construcción Saneamiento Sanitario  Sector Los Sau,"Dotar de alcantarillado de aguas servidas y de agua potable a 30 familias que habitan en el sector Los Sauces de la ciudad de Arauco, a 2,5 km en dirección poniente. Se requiere ejecutar 252 ml, PVC C-10, D110mm y 209,5 ml, PVC C-10, D125 mm, PVC C10 de red de agua potable y 501 ml de red de aguas servidas, HDPE PN6 D 200 mm; 30 uniones domiciliarias y 30 arranques de agua potable. de Arauco, a 2,5 km en dirección poniente. Se requiere ejecutar 252 ml, PVC C-10, D110mm y 209,5 ml, PVC C-10, D125 mm, PVC C10 de red de agua potable y 501 ml de red de aguas servidas, HDPE PN6 D 200 mm; 30 uniones domiciliarias y 30 arranques de agua potable.",I MUNICIPALIDAD DE ARAUCO,Región del Biobío ,2026-05-15 22:23:38.320000,2026-06-18 15:30:00,Construcción Saneamiento Sanitario Sector Los Sauces.,72131702,Unidad,1.0,Construcción de obras civiles,Servicios de construcción y mantenimiento,Construcción de edificios en general,Construcción de obras civiles y infraestructuras,,
4174-17-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,CONVENIO DE SUMINISTRO DE PREMIACIÓN,"Firmar un CONVENIO DE SUMINISTRO DE PREMIACIÓN Y RECONOCIMIENTOS INSTITUCIONAL, DEPORTIVOS Y COMUNITARIOS que asegure la provisión constante, oportuna y de calidad de artículos de premiación medallas, galvanos, trofeos y otros para las diversas actividades, campeonatos y ceremonias organizadas por la Ilustre Municipalidad de Quirihue, garantizando uniformidad en los reconocimientos y optimización de los costos institucionales.",Ilustre Municipalidad de Quirihue,Región del Ñuble,2026-05-15 22:11:04.437000,2026-05-22 15:01:00,"SUMINISTRO DE PREMIACIÓN Y RECONOCIMIENTOS INSTITUCIONAL, DEPORTIVOS Y COMUNITARIOS",49101702,Global,1.0,Trofeos,"Equipos, suministros y accesorios deportivos y recreativos",Coleccionismo y condecoraciones o premios,Premios,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 6 Multifuncional láser color A3 departamental o equivalente,45101511,Unidad,1.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 7 Epson Ecotank L3250 o equivalente,45101511,Unidad,1.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 2 Epson EcoTank L15150 o equivalente,45101511,Unidad,2.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 5 Ricoh MP 2555 o equivalente A3 B/N,45101511,Unidad,2.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 3 Brother DCP-L5660DN / DCP-L5650DN o equivalente,45101511,Unidad,3.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 4 Ricoh IM 550F o equivalente,45101511,Unidad,3.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
1271359-69-LE26,Licitación Pública igual o superior a 100 UTM e inferior a 1.000 UTM,ADQ. IMPRESORAS FOTOCOPIADORAS Y EQUIPOS MULTIFUNC,"Adquisición de impresoras, fotocopiadoras y equipos multifuncionales, monocromáticos y a color, destinados a apoyar la gestión pedagógica y la reproducción de material educativo en establecimientos educacionales.",CORP MUNICIPAL DE DESARROLLO SOCIAL DE LAMPA,Región Metropolitana de Santiago,2026-05-15 21:42:03.790000,2026-05-27 15:00:00,Línea 1 Epson EcoTank L6270 o equivalente,45101511,Unidad,9.0,Impresora Inkjet para aplicaciones comerciales de imprimir,"Equipos y suministros de imprenta, fotográficos y audiovisuales",Equipos de imprenta y publicación,Maquinarias y equipos de imprenta,,
